ID,Ascribed period,Type,Loop shape,Site Type (Primary),Loop?,Feet?,Material,Clapper?,Lat (Y),Long (X),Site Name,Site Type (Specific),County,Decoration?,Published in,Max Diameter (mm),Min Diameter (mm),Max Height (mm),Additional Information,Manufacture,Dating Info,Description
1,Roman,Tulip,Pentagonal,Rural,TRUE,FALSE,Cu alloy,FALSE,54.1981,-0.44659,Binnington Carr,Hoard,North Yorkshire,FALSE,"Harland 1891: 29-30, Kitson Clark 1935: 65-6, York Museums Trust n.d. [online]",-,-,-,"Revealed by ploughing in c.1876 along with 12 Roman silver coins. The coins comprised 7x Vespasian, 3x Vitellius, 1x Julius Caesar and 1 x Nero.",Cast,Hoard deposited c. 1st cent. AD (estimated at AD 74-75),"Large tulip bell (no dimensions available) with an excellent level of preservation. Slightly pentagonal suspension loop with a large circular aperture. No surviving clapper recorded, but remains of what would have been an iron staple for hanging it."
107,Post-Medieval,Crotal,Unclear,Other,TRUE,FALSE,Cu alloy,FALSE,51.667,-1.283,Abingdon,Unknown,Oxfordshire,FALSE,"Parrington & Balkwill 1975: 46, Fig. 37.4",c.24,-,c.16,"Post-Medieval Pit 22, Trench 1",Cast,Post-medieval,Incomplete. The bell has been crushed and so is badly distorted. Top half of a bell with a suspension loop which has been squashed flat to the body of the bell. No clapper recorded.
126,Roman,Conical,-,Rural,FALSE,FALSE,Cu alloy,FALSE,54.465,-0.678,Aislaby,PAS,North Yorkshire,TRUE,PAS: DUR-B8EDD0,25.04,-,26.76,-,Cast,-,"Incomplete. Object is conical in shape with an irregular bottom edge, and the mouth is circular in plan. There is an incised line running parallel to the presumed base of the object. There is a break at the top of the object, but it is possible to see the"
96,Roman,Domed and Lipped,-,Small town,FALSE,FALSE,-,FALSE,52.215,-1.876,Alcester,,Warwickshire,FALSE,"Booth & Evans 2001: 70-1, Fig. 58.11",41,-,17.6,-,Cast,"Phase D, Hadrianic (AD 125-40/50)","Incomplete. Domed body of a bell, with a lip. No suspension loop or clapper recorded."
24,-,Quadrangular,Pentagonal,Small town,TRUE,TRUE,Cu alloy,FALSE,54.0908,-1.3816,Aldborough,,North Yorkshire,FALSE,"Bishop 1996: 8, Fig. 4.9",-,-,-,-,Cast,-,"Four-sided pyramidal bell. It is torn up on three sides, suggesting crushing. The bottom corners of the bell are slightly extended and rounded, forming four feet. The suspension loop is rectangular in section with an oval aperture, with signs of wear at t"
183,Roman - Post-Medieval,Quadrangular,Pentagonal,Rural,TRUE,TRUE,Cu alloy,FALSE,53.260914,-0.336684,Apley,PAS,Lincolnshire,FALSE,PAS: LIN-DF08E4,17,-,48,-,Cast,-,An incomplete cu-al bell. The suspension loop is lozenge-shaped in profile and sub-rectangular in cross-section. Only part of the body remains which indicates that it originally comprised four-flattened sides with curved edges joining them. One of the fee
7,Roman,Shouldered,Circular,Villa,TRUE,FALSE,Cu alloy,FALSE,52.30767,-1.905311,Arrow Valley,,Warwickshire,FALSE,"Palmer 1999: 140, Fig. 58.54",16.5,15,17.8,"SF1023. From surface 398 of C3/3, Building J, which dates to 4th century.",Cast,4th cent. AD,"The sides of the bell are almost straight up to a shoulder, where they then taper to the apex of the bell. Circular suspension loop with a small circular aperture. No clapper recorded."
108,Post-Roman,Miscellaneous,Squared,Villa,TRUE,FALSE,Cu alloy,FALSE,52.30767,-1.905311,Arrow Valley,,Warwickshire,FALSE,"Palmer 1999: 140, Fig. 59.68",8,-,12,-,Cast,-,"Miniature four-sided bell, with a mouth which is rectangular in plan. The squared suspension loop has been squashed from the top (which makes it possible that it could have been originally circular / semi-circular in shape), but the loop still constitutes"
233,Roman,Domed,Semi-circular,Rural,TRUE,FALSE,Cu alloy,FALSE,52.936944,-0.446667,Aunsby and Dembleby,PAS,Lincolnshire,FALSE,PAS: LIN-E0EA15,21.62,-,23.49,-,Cast,-,Incomplete cast copper alloy bell. The bell is domed and approximately half of the side is missing. There is an semi-circular / arched suspension loop at the top. No clapper recorded.
209,Roman,Fragment,Semi-circular,Small town,TRUE,FALSE,Cu alloy,FALSE,51.99,-0.19,Baldock,PAS,Hertfordshire,FALSE,PAS: BH-C520E9,23.8,-,24.7,-,Cast,-,"Fragment, comprising of a semi-circular (D-shaped) suspension loop with a circular aperture surmounting a small piece of the chamber. This chamber is of circular section, with near-vertical sides and an almost flat top. At the centre of the inner surface "
256,Roman - Medieval,Unknown,Unclear,Rural,TRUE,FALSE,Cu alloy,FALSE,52.118,1.105,Barham,PAS,Suffolk,FALSE,PAS: SF-2B1B22,23,-,24,-,-,-,"No image. Description from PAS as follows: 'Small bell with pendant lug probably of Roman date (previously described as possibly 'Norse' and therefore Early Medieval). This bell is 24mm in diameter at the mouth and 14mm high, with a lozenge-shaped lug 10m"
288,,Openwork,Hexagonal,Rural,TRUE,FALSE,Cu alloy,FALSE,52.118,1.105,Barham,PAS,Suffolk,FALSE,PAS: SF-4A8FA1,22,,24,,Cast,,"?7 alternating triangles, hexagonal loop"
